Video_ID,Channel,Title,Thumbnail_Description,Upload_Date,Upload_Time,Duration_Minutes,Views,CTR_Percent,Avg_Retention_Percent,Watch_Time_Hours,Retention_30sec,Retention_1min,Retention_2min,Retention_5min,Retention_10min,Retention_End,Likes,Comments,Shares
VID_001,Your Channel,"How I Made $10,000 in 30 Days (Step by Step)",Shocked face + '$10K' in yellow + money raining background,2025-11-23,Afternoon (2-4pm),22,79471,16.0,45.9,13374,58.4,49.6,46.7,38.6,32.8,20.0,5840,1760,260
VID_002,Your Channel,Python Tutorial for Beginners - Full Course [2025],Code editor screenshot + 'Python' logo + clean minimalist design,2025-11-14,Midday (11am-1pm),42,7038,4.5,72.6,3576,80.8,79.3,73.0,67.3,52.8,51.3,452,80,35
VID_003,Your Channel,I Tried Dropshipping for 30 Days - Honest Results,Split screen before/after + red arrow + earnings graph,2025-11-16,Evening (5-7pm),22,17687,9.2,43.1,2795,51.2,52.7,44.5,35.4,31.0,21.9,550,290,39
VID_004,Your Channel,The TRUTH About AI That Nobody Tells You,Face pointing at camera + 'TRUTH' in bold red + AI graphics,2026-01-01,Night (8-10pm),18,32035,13.3,38.8,3728,48.9,45.8,37.0,27.9,23.2,20.0,1965,434,173
VID_005,Your Channel,Why 99% of People FAIL at Passive Income,Red X over '99%' text + frustrated expression,2025-11-11,Evening (5-7pm),22,94532,14.4,49.5,17157,65.8,55.0,49.2,40.7,36.4,20.3,2437,1436,413
VID_006,Your Channel,Day in My Life as a Software Engineer at Google,Office desk wide shot + Google logo visible + laptop screen,2025-12-12,Midday (11am-1pm),12,7754,6.4,59.3,919,75.0,62.8,59.5,53.5,40.4,32.6,230,110,46
VID_007,Your Channel,This ONE Habit Changed My Life Forever,Transformation split image + bright yellow background,2026-01-06,Evening (5-7pm),12,54377,6.9,54.8,5959,64.0,62.8,57.4,45.9,36.6,29.9,3291,537,252
VID_008,Your Channel,React Hooks Complete Guide - 2025 Edition,React logo + hooks diagram + dark blue tech aesthetic,2025-11-17,Midday (11am-1pm),42,19584,5.3,74.1,10158,91.2,78.8,74.6,63.8,60.3,55.0,1169,449,112
VID_009,Your Channel,I Spent $5000 on Amazon FBA - Here's What Happened,Amazon boxes + shocked face + '$5000' text overlay,2025-12-19,Midday (11am-1pm),14,20986,16.0,36.5,1787,53.4,43.3,39.3,25.2,22.0,20.0,972,459,150
VID_010,Your Channel,The Problem With Social Media (You Need to Hear This),Silhouette with phone + moody dark lighting + warning colors,2025-11-14,Morning (6-9am),12,30932,6.3,44.7,2765,55.4,49.4,43.7,38.2,28.2,21.0,2276,753,108
VID_011,Your Channel,My $50K/Month Business - Behind the Scenes,Money graphics + revenue chart + celebration pose,2025-11-23,Afternoon (2-4pm),8,36624,11.6,32.1,1567,49.9,38.0,30.3,24.7,15.0,20.0,1811,906,126
VID_012,Your Channel,You're Using ChatGPT WRONG - Do This Instead,ChatGPT logo + red 'WRONG' stamp + correct way arrow,2025-11-06,Evening (5-7pm),16,50651,5.3,59.8,8077,74.1,67.2,61.0,54.2,41.1,37.3,3028,1144,200
